epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.91947,1.26603,10.5528,0.68988,1.25022,1.58605,0.81527,0.76775,0.84296,0.58731,0,0,0,0,1.34785,10.4748,0.45063,1.1524,1.79342,0.000659864,0.000659864,0.000659864
2,17.2414,1.2109,9.9098,0.63088,0.96644,1.49487,0.74231,0.58541,0.69423,0.37822,0,0,0,0,1.63609,10.168,0.36257,2.48641,2.38693,0.0013134,0.0013134,0.0013134
3,24.4708,1.22482,9.64854,0.57058,0.98233,1.50959,0.56272,0.62737,0.59147,0.33583,0,0,0,0,1.58179,9.31456,0.25141,3.53399,1.94847,0.00195373,0.00195373,0.00195373
4,31.6088,1.20959,9.4804,0.51857,0.95001,1.47592,0.87219,0.84453,0.91375,0.61986,0,0,0,0,1.16534,9.32299,0.1305,1.058,1.58854,0.0019406,0.0019406,0.0019406
5,38.7603,1.17533,9.24896,0.48071,0.9152,1.45833,0.81324,0.79399,0.8675,0.54211,0,0,0,0,1.24568,8.80336,0.13849,1.21261,1.73439,0.0019208,0.0019208,0.0019208
6,45.8979,1.14148,8.93963,0.45347,0.86417,1.44185,0.7968,0.73129,0.8251,0.54634,0.00316,0.00192,3e-05,0,1.23776,8.7456,0.25021,1.1924,1.57353,0.001901,0.001901,0.001901
7,52.9673,1.08935,8.743,0.43465,0.81936,1.39278,0.88565,0.87716,0.94272,0.66783,0.02763,0.01536,0.00095,0.00013,1.14963,8.27748,0.15929,0.71903,1.47522,0.0018812,0.0018812,0.0018812
8,60.1358,1.0634,8.62145,0.42532,0.78287,1.37,0.93048,0.89911,0.96243,0.72002,0.16847,0.09981,0.04739,0.0088,1.02694,7.83038,0.15786,0.63742,1.3797,0.0018614,0.0018614,0.0018614
9,67.2895,1.05259,8.45801,0.41893,0.785,1.36166,0.88843,0.45298,0.57355,0.41344,0.09458,0.0499,0.01103,0.0026,1.48335,8.72296,0.49191,1.83132,1.82202,0.0018416,0.0018416,0.0018416
10,74.425,0.99972,8.22721,0.41201,0.73909,1.32717,0.92277,0.89436,0.9603,0.72969,0.22,0.12476,0.04167,0.00805,1.0145,7.53178,0.16298,0.60513,1.34071,0.0018218,0.0018218,0.0018218
11,81.5518,1.01758,8.11776,0.39994,0.73793,1.33237,0.89461,0.91939,0.95706,0.70978,0.23079,0.13628,0.05108,0.01111,1.05792,7.31203,0.157,0.66137,1.37401,0.001802,0.001802,0.001802
12,88.6884,1.00692,7.99862,0.39378,0.7372,1.32422,0.83075,0.85221,0.91889,0.70489,0.26612,0.15547,0.06194,0.01288,1.04628,7.29326,0.20883,0.68122,1.38618,0.0017822,0.0017822,0.0017822
13,95.7834,0.97006,7.9054,0.3915,0.71463,1.29231,0.92599,0.91747,0.9706,0.76477,0.37459,0.238,0.1094,0.02008,0.91697,6.91755,0.12035,0.58333,1.26766,0.0017624,0.0017624,0.0017624
14,102.919,0.96791,7.7961,0.38862,0.69396,1.30386,0.94643,0.90595,0.96186,0.74025,0.317,0.18618,0.08304,0.01579,0.9578,7.00049,0.17475,0.589,1.28693,0.0017426,0.0017426,0.0017426
15,110.052,0.9732,7.67852,0.3904,0.6899,1.31325,0.91428,0.90081,0.95339,0.72195,0.2418,0.15355,0.04408,0.01351,0.98153,6.98185,0.14873,0.69565,1.32802,0.0017228,0.0017228,0.0017228
16,117.155,0.9496,7.64012,0.38132,0.67357,1.28792,0.92553,0.86564,0.94716,0.71702,0.30848,0.1881,0.07945,0.0146,1.02886,7.05863,0.15111,0.61354,1.3535,0.001703,0.001703,0.001703
17,124.253,0.93981,7.62784,0.39265,0.66284,1.29704,0.93052,0.9254,0.97217,0.7501,0.27553,0.18042,0.07163,0.01409,0.96249,6.82619,0.1435,0.56967,1.29924,0.0016832,0.0016832,0.0016832
18,131.358,0.94233,7.44684,0.37671,0.65498,1.28306,0.89494,0.92898,0.96572,0.75279,0.36596,0.23608,0.11365,0.02128,0.95972,6.82035,0.14217,0.56877,1.28508,0.0016634,0.0016634,0.0016634
19,138.448,0.92422,7.33841,0.36235,0.6318,1.26499,0.94675,0.95558,0.9864,0.77898,0.48466,0.29175,0.21509,0.04847,0.91569,6.49953,0.10567,0.48074,1.24477,0.0016436,0.0016436,0.0016436
20,145.551,0.92698,7.29975,0.36991,0.64494,1.25267,0.91841,0.95202,0.97875,0.77959,0.73438,0.4357,0.40073,0.0777,0.90047,6.16982,0.12741,0.51583,1.24359,0.0016238,0.0016238,0.0016238
21,154.305,0.92984,7.19316,0.36904,0.64897,1.26363,0.93719,0.90979,0.96745,0.75564,0.67032,0.36276,0.3114,0.0774,0.9105,6.10481,0.16241,0.55334,1.23055,0.001604,0.001604,0.001604
22,161.735,0.91584,7.12448,0.36614,0.62839,1.2565,0.93861,0.93909,0.97854,0.79967,0.68669,0.38388,0.34282,0.07747,0.8237,6.01858,0.13327,0.48884,1.19241,0.0015842,0.0015842,0.0015842
23,170.819,0.87273,6.89153,0.35739,0.62649,1.2393,0.93394,0.93282,0.97429,0.76974,0.71238,0.40499,0.37761,0.09804,0.88498,6.08902,0.10989,0.52492,1.2307,0.0015644,0.0015644,0.0015644
24,178.633,0.89035,6.76798,0.35707,0.62217,1.23636,0.92693,0.95585,0.98021,0.78776,0.63414,0.39257,0.3376,0.08979,0.85205,5.88619,0.10606,0.48803,1.18815,0.0015446,0.0015446,0.0015446
25,185.769,0.88159,6.71722,0.35769,0.60166,1.22345,0.96511,0.95577,0.98846,0.79478,0.65062,0.4453,0.37463,0.10093,0.84276,5.6743,0.13608,0.45798,1.18056,0.0015248,0.0015248,0.0015248
26,192.907,0.87617,6.61891,0.3571,0.60619,1.23955,0.93496,0.91048,0.96884,0.74656,0.84254,0.47793,0.48612,0.17681,0.95402,5.71292,0.13852,0.54455,1.25524,0.001505,0.001505,0.001505
27,200.043,0.87187,6.52328,0.34996,0.59645,1.22822,0.9414,0.95588,0.98542,0.79387,0.67288,0.42418,0.35778,0.11472,0.83119,5.52148,0.11776,0.47161,1.20273,0.0014852,0.0014852,0.0014852
28,207.158,0.86279,6.41628,0.35078,0.57306,1.23013,0.92161,0.88008,0.94317,0.7241,0.76242,0.42994,0.38911,0.13525,0.95704,5.66368,0.14459,0.58957,1.28413,0.0014654,0.0014654,0.0014654
29,214.275,0.85203,6.38738,0.35535,0.58555,1.22006,0.94625,0.94603,0.98197,0.78243,0.84587,0.49904,0.52817,0.21301,0.86482,5.00812,0.1274,0.48135,1.23849,0.0014456,0.0014456,0.0014456
30,221.409,0.84042,6.24872,0.35492,0.56581,1.21214,0.94227,0.9501,0.98404,0.81183,0.77698,0.52828,0.53986,0.23207,0.7858,4.89356,0.13462,0.44407,1.1446,0.0014258,0.0014258,0.0014258
31,228.512,0.85207,6.13947,0.3505,0.56019,1.20408,0.95702,0.94017,0.98026,0.79289,0.83681,0.5048,0.53253,0.24908,0.87276,4.90786,0.12022,0.46569,1.21737,0.001406,0.001406,0.001406
32,235.612,0.83921,6.08412,0.3497,0.57394,1.20357,0.95149,0.94112,0.98295,0.79688,0.76262,0.50672,0.50714,0.19357,0.8224,5.03154,0.10798,0.46543,1.16661,0.0013862,0.0013862,0.0013862
33,242.716,0.84785,5.99488,0.33897,0.583,1.21182,0.95193,0.93858,0.98349,0.80348,0.83135,0.47601,0.51515,0.23176,0.80237,4.99074,0.10816,0.4655,1.15866,0.0013664,0.0013664,0.0013664
34,249.806,0.83528,5.89739,0.33691,0.57668,1.1988,0.94825,0.9501,0.98271,0.80745,0.78139,0.48369,0.49065,0.20437,0.81547,4.91382,0.1272,0.45929,1.16874,0.0013466,0.0013466,0.0013466
35,256.943,0.81355,5.88149,0.34407,0.54645,1.19358,0.93549,0.94642,0.9823,0.81445,0.85152,0.49536,0.54134,0.25493,0.77321,4.70829,0.11545,0.43626,1.14689,0.0013268,0.0013268,0.0013268
36,264.111,0.82199,5.78752,0.33856,0.56201,1.19547,0.93658,0.94626,0.9839,0.79312,0.81263,0.5078,0.53293,0.26974,0.86503,4.66917,0.10808,0.46373,1.17802,0.001307,0.001307,0.001307
37,271.243,0.85294,5.87134,0.34408,0.57246,1.20603,0.95184,0.94837,0.98619,0.80915,0.76723,0.5144,0.50822,0.24107,0.8061,4.68637,0.1319,0.45139,1.15513,0.0012872,0.0012872,0.0012872
38,278.359,0.81612,5.696,0.34054,0.54444,1.19983,0.96545,0.93282,0.98312,0.80081,0.81459,0.56238,0.57376,0.29601,0.80892,4.51194,0.09803,0.45677,1.17461,0.0012674,0.0012674,0.0012674
39,285.511,0.83214,5.80885,0.34002,0.54228,1.19989,0.94344,0.9285,0.97224,0.79641,0.84461,0.55086,0.54379,0.27411,0.82403,4.66717,0.14167,0.47638,1.16622,0.0012476,0.0012476,0.0012476
40,292.603,0.80306,5.66132,0.33146,0.52123,1.18441,0.94657,0.96161,0.98685,0.80137,0.77373,0.56622,0.58348,0.26966,0.8334,4.4867,0.11352,0.44226,1.17545,0.0012278,0.0012278,0.0012278
41,299.707,0.78272,5.5289,0.33798,0.53525,1.17403,0.95579,0.95449,0.98565,0.82206,0.77327,0.53678,0.54586,0.24942,0.7486,4.64458,0.12633,0.41552,1.11746,0.001208,0.001208,0.001208
42,306.827,0.80359,5.50811,0.33089,0.52643,1.18279,0.95556,0.96161,0.98264,0.81955,0.78585,0.58541,0.59784,0.31208,0.78707,4.31888,0.10576,0.42044,1.16013,0.0011882,0.0011882,0.0011882
43,313.96,0.81062,5.47431,0.32574,0.5353,1.19113,0.94998,0.95777,0.98449,0.81546,0.79228,0.52591,0.558,0.28981,0.81061,4.48066,0.11428,0.44147,1.15905,0.0011684,0.0011684,0.0011684
44,321.077,0.80517,5.49969,0.32355,0.5196,1.17291,0.94904,0.96503,0.98634,0.82979,0.8279,0.61863,0.6479,0.34341,0.76416,4.14987,0.10906,0.4237,1.12423,0.0011486,0.0011486,0.0011486
45,328.18,0.80694,5.5324,0.3343,0.54327,1.18841,0.96196,0.9501,0.98832,0.82906,0.803,0.58678,0.59935,0.31776,0.74986,4.21361,0.10216,0.40738,1.11604,0.0011288,0.0011288,0.0011288
46,335.292,0.77892,5.47981,0.32267,0.53789,1.16541,0.95358,0.94626,0.98623,0.82288,0.76951,0.59885,0.58205,0.29315,0.75514,4.28439,0.11704,0.42092,1.11204,0.001109,0.001109,0.001109
47,342.404,0.79773,5.42129,0.32647,0.51886,1.17908,0.95065,0.96132,0.98739,0.8363,0.82141,0.6003,0.64056,0.34945,0.74227,4.1344,0.10494,0.39966,1.1099,0.0010892,0.0010892,0.0010892
48,349.53,0.78324,5.34791,0.32166,0.51014,1.16466,0.93692,0.94434,0.96778,0.78832,0.80618,0.60653,0.60336,0.30214,0.82177,4.35231,0.1122,0.48649,1.17937,0.0010694,0.0010694,0.0010694
49,356.619,0.77129,5.19801,0.32032,0.50639,1.1632,0.96157,0.95202,0.98749,0.82694,0.79472,0.60269,0.6129,0.31718,0.75557,4.20219,0.13098,0.41788,1.12113,0.0010496,0.0010496,0.0010496
50,363.726,0.78508,5.30309,0.32239,0.50881,1.172,0.95686,0.95777,0.98769,0.82486,0.82186,0.6287,0.65795,0.36684,0.74933,4.03947,0.10938,0.40678,1.10604,0.0010298,0.0010298,0.0010298
51,370.831,0.79462,5.3447,0.3222,0.52557,1.17433,0.96496,0.95142,0.98728,0.83916,0.79229,0.61996,0.64226,0.35489,0.74523,4.15183,0.12454,0.39984,1.11409,0.00101,0.00101,0.00101
