epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,16.0427,2.19763,11.899,0,2.72479,2.60954,0.27593,0.55,0.29079,0.07163,0,0,0,0,1.68858,11.9009,0,2.55631,2.21801,0.00174,0.00058,0.00174,0.00058,0.00174,0.00058,0.00174,0.00058
2,23.3619,1.2564,11.9047,0,1.21371,1.60669,0.90287,0.98333,0.95194,0.72696,0,0,0,0,0.94391,11.8761,0,0.56126,1.33559,0.00350495,0.00116832,0.00350495,0.00116832,0.00350495,0.00116832,0.00350495,0.00116832
3,29.8591,0.91462,11.8928,0,0.68519,1.23687,0.92089,1,0.97908,0.80153,0,0,0,0,0.79777,11.8402,0,0.5022,1.18017,0.00523427,0.00174476,0.00523427,0.00174476,0.00523427,0.00174476,0.00523427,0.00174476
4,35.6303,0.78779,11.8714,0,0.56462,1.13006,0.94956,1,0.95561,0.81473,0,0,0,0,0.60652,11.8019,0,0.35518,1.03878,0.0058218,0.0019406,0.0058218,0.0019406,0.0058218,0.0019406,0.0058218,0.0019406
5,41.0327,0.71223,11.7855,0,0.49569,1.0891,0.95193,1,0.99184,0.85635,0,0,0,0,0.54738,11.7611,0,0.35032,0.98882,0.0057624,0.0019208,0.0057624,0.0019208,0.0057624,0.0019208,0.0057624,0.0019208
6,46.6533,0.66207,11.7781,0,0.45773,1.06334,0.98359,0.99899,0.99451,0.87878,0,0,0,0,0.54448,11.6215,0,0.284,0.9855,0.005703,0.001901,0.005703,0.001901,0.005703,0.001901,0.005703,0.001901
7,52.0291,0.6302,11.7422,0,0.42497,1.05716,0.98137,1,0.99451,0.88755,0,0,0,0,0.49507,11.4852,0,0.27972,0.94382,0.0056436,0.0018812,0.0056436,0.0018812,0.0056436,0.0018812,0.0056436,0.0018812
8,57.6811,0.61612,11.7013,0,0.42474,1.05401,0.98181,1,0.99484,0.89776,0,0,0,0,0.48522,11.318,0,0.2887,0.96016,0.0055842,0.0018614,0.0055842,0.0018614,0.0055842,0.0018614,0.0055842,0.0018614
9,62.9755,0.57679,11.6065,0,0.40879,1.03132,1,0.99652,0.995,0.89523,0,0,0,0,0.47346,11.141,0,0.26482,0.93564,0.0055248,0.0018416,0.0055248,0.0018416,0.0055248,0.0018416,0.0055248,0.0018416
10,68.6416,0.59892,11.4691,0,0.40225,1.02858,0.99543,1,0.995,0.88931,0,0,0,0,0.47879,10.9307,0,0.25519,0.92151,0.0054654,0.0018218,0.0054654,0.0018218,0.0054654,0.0018218,0.0054654,0.0018218
