epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,24.3918,1.87691,11.8952,0,2.24902,2.21649,0.85137,0.96111,0.91368,0.6579,0,0,0,0,1.02073,11.887,0,0.69824,1.4343,0.00196667,0.000655556,0.00196667,0.000655556,0.00196667,0.000655556,0.00196667,0.000655556
2,37.9957,0.95659,11.8514,0,0.77554,1.28929,0.94458,0.98333,0.97979,0.83968,0,0,0,0,0.59917,11.8241,0,0.35884,1.01407,0.00395881,0.0013196,0.00395881,0.0013196,0.00395881,0.0013196,0.00395881,0.0013196
3,49.4413,0.72307,11.8248,0,0.50311,1.10635,0.93892,0.99444,0.99323,0.87117,0,0,0,0,0.51541,11.7355,0,0.3704,0.96353,0.00594304,0.00198101,0.00594304,0.00198101,0.00594304,0.00198101,0.00594304,0.00198101
4,61.4609,0.65417,11.762,0,0.44577,1.06845,0.9848,0.98333,0.99282,0.89717,0,0,0,0,0.48193,11.5525,0,0.2824,0.92395,0.00596436,0.00198812,0.00596436,0.00198812,0.00596436,0.00198812,0.00596436,0.00198812
5,73.3715,0.61272,11.6088,0,0.4186,1.04456,0.98343,0.99444,0.99456,0.91376,0,0,0,0,0.42789,11.3078,0,0.27867,0.88276,0.00595248,0.00198416,0.00595248,0.00198416,0.00595248,0.00198416,0.00595248,0.00198416
6,86.2859,0.59582,11.4201,0,0.4068,1.04498,0.9944,0.98731,0.99484,0.92026,0,0,0,0,0.4078,11.2398,0,0.26583,0.87465,0.0059406,0.0019802,0.0059406,0.0019802,0.0059406,0.0019802,0.0059406,0.0019802
7,98.166,0.55835,11.2428,0,0.39451,1.02162,0.98359,0.99903,0.99411,0.92355,0,0,0,0,0.40317,10.7457,0,0.2495,0.8656,0.00592872,0.00197624,0.00592872,0.00197624,0.00592872,0.00197624,0.00592872,0.00197624
8,111.046,0.57853,11.1079,0,0.39954,1.0363,0.99398,1,0.99467,0.93257,0,0,0,0,0.40068,10.2548,0,0.23206,0.86435,0.00591684,0.00197228,0.00591684,0.00197228,0.00591684,0.00197228,0.00591684,0.00197228
9,122.815,0.55104,10.8693,0,0.38711,1.0216,0.99931,0.99444,0.995,0.92884,0,0,0,0,0.36415,9.94699,0,0.23721,0.8408,0.00590496,0.00196832,0.00590496,0.00196832,0.00590496,0.00196832,0.00590496,0.00196832
10,133.942,0.54057,10.6679,0,0.37321,1.01297,0.99795,0.99444,0.995,0.93023,0,0,0,0,0.38103,9.71316,0,0.2362,0.84733,0.00589308,0.00196436,0.00589308,0.00196436,0.00589308,0.00196436,0.00589308,0.00196436
11,144.936,0.49113,10.4608,0,0.34628,0.98374,0.99886,0.99444,0.995,0.94117,0,0,0,0,0.34996,9.33957,0,0.21357,0.82774,0.0058812,0.0019604,0.0058812,0.0019604,0.0058812,0.0019604,0.0058812,0.0019604
12,155.847,0.48866,10.2914,0,0.33382,0.98073,0.99961,0.99444,0.995,0.94248,0,0,0,0,0.35377,9.11842,0,0.21165,0.82479,0.00586932,0.00195644,0.00586932,0.00195644,0.00586932,0.00195644,0.00586932,0.00195644
13,166.663,0.48988,10.181,0,0.32284,0.98645,0.99367,0.99444,0.99489,0.93663,0,0,0,0,0.36196,9.15902,0,0.22167,0.83016,0.00585744,0.00195248,0.00585744,0.00195248,0.00585744,0.00195248,0.00585744,0.00195248
14,177.791,0.47827,10.0907,0,0.33242,0.9811,0.99345,0.98889,0.99472,0.94479,0,0,0,0,0.35784,8.87728,0,0.21021,0.83351,0.00584556,0.00194852,0.00584556,0.00194852,0.00584556,0.00194852,0.00584556,0.00194852
15,188.679,0.47821,9.85498,0,0.32689,0.97576,0.98304,0.99444,0.99478,0.9451,0,0,0,0,0.33786,8.58704,0,0.21252,0.82086,0.00583368,0.00194456,0.00583368,0.00194456,0.00583368,0.00194456,0.00583368,0.00194456
16,199.864,0.48299,9.73212,0,0.32719,0.98679,0.99389,1,0.99494,0.94694,0,0,0,0,0.33085,8.4281,0,0.20484,0.81344,0.0058218,0.0019406,0.0058218,0.0019406,0.0058218,0.0019406,0.0058218,0.0019406
17,210.75,0.46769,9.60441,0,0.31065,0.97973,0.9939,1,0.99494,0.95489,0,0,0,0,0.32587,8.42384,0,0.19322,0.81006,0.00580992,0.00193664,0.00580992,0.00193664,0.00580992,0.00193664,0.00580992,0.00193664
18,221.622,0.459,9.42265,0,0.31476,0.96581,0.98855,0.99444,0.99489,0.9483,0,0,0,0,0.34672,7.9587,0,0.19877,0.82806,0.00579804,0.00193268,0.00579804,0.00193268,0.00579804,0.00193268,0.00579804,0.00193268
19,232.468,0.46887,9.32786,0,0.31442,0.97552,0.9883,1,0.99494,0.94892,0,0,0,0,0.34301,7.94565,0,0.20445,0.82276,0.00578616,0.00192872,0.00578616,0.00192872,0.00578616,0.00192872,0.00578616,0.00192872
20,243.315,0.46425,9.14816,0,0.31725,0.97673,0.99968,0.99444,0.995,0.95191,0,0,0,0,0.32526,7.88002,0,0.19362,0.80925,0.00577428,0.00192476,0.00577428,0.00192476,0.00577428,0.00192476,0.00577428,0.00192476
21,254.288,0.45619,9.04208,0,0.31033,0.97251,0.989,0.99937,0.99489,0.94562,0,0,0,0,0.33897,7.56975,0,0.20788,0.82473,0.0057624,0.0019208,0.0057624,0.0019208,0.0057624,0.0019208,0.0057624,0.0019208
22,265.381,0.4528,8.95836,0,0.31286,0.97033,0.98901,0.9995,0.99489,0.95689,0,0,0,0,0.32048,7.33971,0,0.19045,0.8149,0.00575052,0.00191684,0.00575052,0.00191684,0.00575052,0.00191684,0.00575052,0.00191684
23,276.262,0.45494,8.91369,0,0.31599,0.96977,0.99444,0.99385,0.99494,0.94484,0,0,0,0,0.34077,7.17367,0,0.20481,0.81958,0.00573864,0.00191288,0.00573864,0.00191288,0.00573864,0.00191288,0.00573864,0.00191288
24,287.246,0.4588,8.82312,0,0.31513,0.97475,1,0.98832,0.99489,0.95016,0,0,0,0,0.32364,7.12186,0,0.20144,0.80913,0.00572676,0.00190892,0.00572676,0.00190892,0.00572676,0.00190892,0.00572676,0.00190892
25,298.003,0.44908,8.73703,0,0.31751,0.96609,0.99118,1,0.99494,0.95688,0,0,0,0,0.31385,7.00656,0,0.19356,0.8021,0.00571488,0.00190496,0.00571488,0.00190496,0.00571488,0.00190496,0.00571488,0.00190496
26,308.826,0.44629,8.58454,0,0.30235,0.96523,0.99381,1,0.99456,0.95866,0.00587,0.00556,0.00122,0.00012,0.31492,6.98608,0,0.18817,0.80008,0.005703,0.001901,0.005703,0.001901,0.005703,0.001901,0.005703,0.001901
27,319.807,0.44894,8.48089,0,0.30527,0.96992,0.99447,0.99902,0.99494,0.95761,0,0,0,0,0.31301,6.7544,0,0.19708,0.8035,0.00569112,0.00189704,0.00569112,0.00189704,0.00569112,0.00189704,0.00569112,0.00189704
28,330.725,0.4506,8.48959,0,0.31179,0.97179,0.99423,1,0.99478,0.95449,0,0,0,0,0.31564,6.81526,0,0.18071,0.8046,0.00567924,0.00189308,0.00567924,0.00189308,0.00567924,0.00189308,0.00567924,0.00189308
29,341.625,0.44098,8.35091,0,0.30019,0.95926,0.99425,1,0.99494,0.95225,0.00577,0.00556,0.00131,0.00013,0.32086,6.64848,0,0.18728,0.80767,0.00566736,0.00188912,0.00566736,0.00188912,0.00566736,0.00188912,0.00566736,0.00188912
30,352.765,0.43518,8.25673,0,0.30288,0.96332,0.98867,1,0.99494,0.95749,0.00564,0.00556,0.00088,9e-05,0.3049,6.5648,0,0.187,0.79515,0.00565548,0.00188516,0.00565548,0.00188516,0.00565548,0.00188516,0.00565548,0.00188516
31,363.893,0.42651,8.20884,0,0.29799,0.9549,0.99394,1,0.99494,0.95349,0.02282,0.02222,0.00411,0.00041,0.32703,6.25576,0,0.1942,0.80432,0.0056436,0.0018812,0.0056436,0.0018812,0.0056436,0.0018812,0.0056436,0.0018812
32,374.358,0.42268,8.0876,0,0.29451,0.95818,0.99358,1,0.99494,0.96287,0.02832,0.02778,0.00832,0.00083,0.30788,6.15845,0,0.17892,0.79378,0.00563172,0.00187724,0.00563172,0.00187724,0.00563172,0.00187724,0.00563172,0.00187724
33,385.002,0.4264,7.96177,0,0.29332,0.96328,0.99691,0.99444,0.995,0.96262,0.1473,0.14444,0.06698,0.0067,0.3062,5.98281,0,0.17826,0.79585,0.00561984,0.00187328,0.00561984,0.00187328,0.00561984,0.00187328,0.00561984,0.00187328
34,395.859,0.43321,7.93007,0,0.29687,0.95559,0.99924,0.99444,0.995,0.96124,0.12083,0.11667,0.06163,0.00616,0.30454,5.97834,0,0.18687,0.79772,0.00560796,0.00186932,0.00560796,0.00186932,0.00560796,0.00186932,0.00560796,0.00186932
